1.0000,1.2736,2.4159,0.1031,0.1010
2.0000,2.8241,2.3931,0.1170,0.1225
3.0000,4.2844,2.3270,0.1991,0.3192
4.0000,5.7278,2.0763,0.4936,0.6253
5.0000,7.1331,1.5007,0.7044,0.7851
6.0000,8.5473,1.0560,0.8127,0.8525
