954.0000,0.0000,17.0000,3.0000,2.0000,51.0000,19.0000,1.0000,21.0000,15.0000
0.0000,1115.0000,19.0000,8.0000,8.0000,12.0000,6.0000,37.0000,33.0000,11.0000
4.0000,3.0000,851.0000,40.0000,2.0000,14.0000,4.0000,19.0000,11.0000,5.0000
0.0000,5.0000,36.0000,850.0000,0.0000,91.0000,1.0000,2.0000,96.0000,7.0000
0.0000,0.0000,23.0000,0.0000,830.0000,19.0000,15.0000,8.0000,17.0000,89.0000
9.0000,0.0000,1.0000,23.0000,0.0000,613.0000,14.0000,0.0000,38.0000,8.0000
9.0000,3.0000,28.0000,6.0000,17.0000,31.0000,899.0000,1.0000,16.0000,2.0000
1.0000,1.0000,19.0000,27.0000,1.0000,13.0000,0.0000,907.0000,22.0000,55.0000
3.0000,8.0000,34.0000,50.0000,4.0000,39.0000,0.0000,5.0000,698.0000,9.0000
0.0000,0.0000,4.0000,3.0000,118.0000,9.0000,0.0000,48.0000,22.0000,808.0000
